English Terms,English Definition,IsiZulu Term,IsiZulu Definition 
accelerated depreciation,,ukwehla ngamandla kwentengonani,
acceptor,,umvumisikweletu,
accident insurance,,umshuwalense wokulimala,
added value,,intengonani eyengeziwe,
agent,,ummeleli (i-ejenti),
allocation,,ukwabiwa,
allocative efficiency,,incophelelokwaba,
annuity period,,isikhathi senkokhelo somhlalaphansi,
anticipated interest,,inzalomali  elindelekile,
auction market,,imakethendali yokuncintisana,
average,,isilinganisonani,
average fixed cost(AFC),,isilinganisonani sezindleko ezimile/ezingaguquki/ezingagudluki,
average product,,isilinganisonani somkhiqizo,
average total cost,,isilinganisonani sesamba sezindleko,
average variable cost,,isilinganisonani sezindleko eziguquguqukayo,
balance of payments,,iqoqakuqoshwa kwezinkokhelo,
bank guaranteed cheque,,isheke eligunyazwe ibhange,
basing-point system,,uhlelo lokuthengisa ngenani elifanayo,
bilateral monopoly,,igunyakwenza elinhlangothimbili,
bill of exchange,,umyalelokukhokha ongenambandela,
blank endorsement,,ukusayina isheke elingenamininingwane,
bonds,,isivumelwano sobolekomali/amabhondi,
boom,,isicongokuchuma komnotho/incumamnotho,
boot money,,isengezosinxephezelo/isengezosishwelezo,
boycott,,ukuduba,
brand,,igama lomkhiqizo/uphawu lomkhiqizo,
broker,,umxhumanisikuhweba,
budget,,isabelomali,
budget deficit,, ukweqa kusabelomali,
bulk discount,,isaphulelo esikhulu,
business,,ibhizinisi,
business agent,,ummeleli webhizinisi,
business ethics,,inkambiso eyamukelekile yebhizinisi,
buy,,Okuthengiwe,
buyer,,umthengi,
buyer’s market,,imakethe yabathengi,
buying power,,amandla emali/okuthenga,
capital,,ingqalabhizinisi,
capital gain,,inzuzo yentengonani,
capital good,,impahla yokukhiqiza/impahla yokusebenza,
capitalism,,ubungxowankulu/uhlobo lohwebo oluvulelekile,
capitalist,,ungxiwankulu,
ceiling price,,inani eliwumkhawulo,
clearing house,,isikhungo esigunyaza izinkokhelo,
collective bargaining,,uhlelo lokuxoxisana/lokubonisana,
communism,,ubukhomanisi / uhlobo lohwebo oluvalelekile,
commodity,,impahla/umkhiqizo,
consumer,,umsebenzisi,
consumer credit,,isikweletu,
consumer equilibrium,,ukugculiseka komsebenzisi,
consumer good,,impahla yokusetshenziswa,
consumption,,ukusetshenziswa kwempahla,
contract,,isivumelwano/inkontileka,
corporation,,ibhizinisi /inkampani esemthethweni/ukopeletsheni,
cost of production,,izindleko zokukhiqiza,
current transfer,,imihlomulo kahulumeni,
debenture,,isitifiketi sesikweletu/isiqinisekiso sesikweletu,
deficit,,imali eshodayo,
deficit financing,,isikweletu sikahulumeni,
demand,,imfunosidingo,
demand deposit,, imali engaboshiwe,
demerit goods,,izimpahla ezifenyisiwe/ezinogcobho,
depression,,inzikamnotho,
diminishing utility,,unemfu/ukwehla kokweneliseka,
direct investment,,utshalomali lokulawula/utshalomali lobungqoshishilizi,
direct selling,,ukuthengisela ngqo/ukudayisela ngqo,
discount,,Isaphulelo,
discount house,,isitolo samanani aphansi/sesaphulelo,
dismissal pay,,imali yokuxoshwa emsebenzini,
distribution,,ukusabalalisa,
division of labour,,ukwahlukaniswa kwemisebenzi ngokwamakhono/ukwabiwa kwemisebenzi ngokwamakhono,
domestic production,,umkhiqizo wezwe,
doomsday strike,,isiteleka esihlongozwayo,
door-to-door selling,,ukuthengisa/ukuthengisa uphuma ungena/ukudayisa ungena indlu ngendlu,
double counting,,iphutha elikubalakubili,
dumping,,ukudayisakulahla/ukudayisakutshinga,
duty,,intela eqoqwayo,
economic costs,, 1.izindleko zezomnotho 2. izindleko zebhizinisi,
economic development,,ukuthuthukiswa kwezomnotho,
economic efficiency,,ingcophelelo kwezomnotho,
economic geography,,ukuhlelwa kwezomnotho ngokwendawo,
economic goods,,impahla engandile enenani,
economic growth,,ukukhula kwezomnotho,
economic inefficiency,,ubudedengu kwezomnotho,
economic migrant or refugee,,isifikanamthwalo kwezomnotho,
economic problem,,inkinga kwezomnotho,
economic profit,,inzuzo kwezomnotho,
economic rent,,inzuzo/irenti kwezomnotho,
economics,,ezomnotho,
economic strike,,isiteleka samaholo/sezisebenzi,
economic welfare,,inhlalakahle kwezomnotho,
economic zone,,isizinda sezomnotho,
economise,,onga,
economism,,uhlelo lwezomnotho,
economist,,usomnotho/unomnotho,
economizer,,owongayo,
economy,,umnotho,
economy class,,igumbi likawonkewonke,
elasticity of demand,,ukuguquguquka kwentshisekelo (yabathengi),
employee association,,inhlangano yabaqashwa/umbuthano wabaqashwa,
employment,,umsebenzi/ukuqashwa,
entrepreneur,,umsungulibhizinisi,
equilibrium,,isimokulingana,
equilibrium price,,isimokulingana sentengo,
equilibrium quantity,,isimokulingana sobungako obubalekayo /isimokulingana sobunani,
exchange rate policy,,inqubomgomo yokuhwebelana kwamazwe,
exchange value,,isilinganisonani sokuhwebelana kwamazwe,
expenditure,,ukusetshenziswa kwemali,
explicit costs,,izindleko ezisobala,
exploit,,1.ukusebenzisa 2. ukuxhaphaza,
factors of  production,,izinsizangqangi zokukhiqiza/izinsika zokukhiqiza,
factory,,ifemu/ifekthri,
fair price,,inani elifanele,
fall back pay,,inkokhelo okusukelwa kuyo,
fall out of bed,,ukufadalala komnotho,
featherbedding,,iphutha lokuqasha ngokweqile,
financial institution ,,isikhungo sezezimali,
financial statement,,isitatimende sezezimali,
financier,,umelulekimbolekisi wezamabhizinisi,
fine tuning,,uhlengosimo lwezimali,
first line management,,izinduna /izimfolomane,
fiscal period.,,isikhathikubika sebhizinisi,
fiscal policy,,inqubomgomo yokusetshenziswa kwezimali  zikahulumeni,
fixed capital,,umnotho webhizinisi olondoloziwe,
fixed cost,,izindleko ezingaguquki,
fixed expenses,,izindleko ezikhokhwayo ezingaguquki,
fixing price,,inqumantengo,
flexible-exchange-rate system,,uhlelo lwezingabungako oluguquguqukayo lokuhwebelana kwamazwe,
foreign exchange,,1. uhlobo lwemali yakwamanye amazwe 2. ukushintshwa kwamandla emali,
free goods,,1. izimpahla eziyinsada 2. izimpahla ezingakhokhelwa,
full production,,ukukhiqiza ngokugcwele,
futures,,1. isivumelwano sokudayiselana ngomuso 2. ezangomuso,
general equilibrium,,isimokulingana jikelele,
global economy,,umnotho womhlaba,
goods,,impahla,
gross domestic product (GDP),,isambamkhiqizo sezwe/i-GDP,
GDP per capita,,isambamkhiqizo ngomuntu ngamunye,
gross national product,,isambamkhiqizo sikazwelonke,
heterogeneous,,ukwehlukahlukana ngokwezinhlobo,
homogeneous,,ukufana ngokwezinhlobo,
imperfect market,,ukuhwebakuncintiselana,
implicit costs,,izindleko ezifihlekile/izindleko ezingaveziwe,
income payments,,inkokhelo yabokufika,
industry,,imboni,
informal trading,,ukuhweba okungahlelekile/okungalawuliwe,
inferior goods,,izimpahla eziseqophelweni eliphansi/izimpahla ezisezingeni eliphansi,
inflation,,ukwenyuka kwamananintengo/ukwehla kwamandla emali/i-infleshini,
inflation of quotations,,izinselelo zokwenyuka kwamananintengo,
informal sector,,umkhakha wamabhizinisi angahlelekile/angalawuliwe,
infrastructure,,ingqalasizinda,
innocent purchaser,,umthengi ofihlelwe/ocashiselwe,
insurance company,,inkampani yomshuwalense,
insurance policy,,ipholisi yomshuwalense,
insured,,1. okuvikelwe umshuwalense 2. okuthathelwe umshuwalense,
insurer,,umkhokhimshuwalense,
interest,,inzalo/amankonyane,
interest rates,,izilinganisonani zenzalo,
internal audit,,ucwaningomabhuku lwangaphakathi,
internal economic scale,,izinkombamnotho zangaphakathi,
intestate,,ifa elingabiwe,
investor,,umtshalimali/umtshalimnotho,
jobless growth,,ukukhula komnotho okungenamathuba emisebenzi,
jurisdictional strike,,isiteleka esingagunyaziwe umqashi,
labour,,isisebenzi,
labour piracy,,ukuheha izisebenzi,
land,,umhlaba/indawo,
law of demand,,umthetho wemfunosidingo,
law of diminishing marginal returns,,umthetho wokufadalala kwenzuzo,
legal tender,,imali,
legal title,,itayitela,
lend,,bolekisa/tshelekisa,
lender,,umbolekisi/umtshelekisi,
lending institution,,isikhungo sokubolekisa/sokutshelekisa,
letter of credit,,incwadi yesiqinisekisokukhokha,
liquidate,,thengisa ukhokhe,
liquidation,,ukukhokha ngokuthengisa,
liquidity,,ukudayisa kwempahla emakethe,
listing,,isivumelwano sokudayiselelwa noma sokuqashiselelwa,
macroeconomics,,ezomnotho wonkana,
marginal,,okuncane/okuncinyane,
marginal cost,,izindlekwana,
marginal product,,umkhiqizwana,
marginal revenue,,ingenisonzuzwana,
market,,imakethe,
market equilibrium,,isimokulingana semakethe/isimokulingana emakethe,
market forces,,isimomthelela emakethe,
mass production,,umkhiqizo omningi,
merger,,ukuhlangana,
merit goods,,okukawonkewonke,
micro-economy,,umnotho ngawodwana,
middleman,,umxhumanisi,
minimum wage,,iholo okuqalwa kulo,
mixed economic systems,,izinhlelo zomnotho ezixubile,
monetary policy,,inqubomgomo yezezimali,
money,,imali,
money market,,imakethe yezimali,
monopolistic competition,,umncintiswano omkhiqizomunye,
monopoly,,ukugweva negunya lokudayisa,
monopsony,,ubungqoshishilizi ekuthengeni,
mortgage bond,,imalimboleko yempahla empilonde/ibhondi,
national income,,ingenisomali likazwelonke,
national production,,umkhiqizo kazwelonke,
needs,,izidingo,
nominal income,,ingenisomali elingathintiwe,
normal goods,,izimpahla ezisezingeni elifanele,
normal profit,,inzuzo efanele/eyanele,
oligopoly,,ukugweva negunya kwengcosana,
oligopsony,,ubungqoshishilizi bengcosana,
open economy,,umnotho ovulelekile,
opportunity cost,,izindleko zokuyeka ithuba/izindleko zokulahla ithuba.,
optimal search rule,,umthetho wemfunolwazi,
option,,igunyakukhetha,
output,,umkhiqizo,
parastatals,,izinkampani ezingaphansi kukahulumeni,
partial equilibrium,,isimokulingana esingaphelele,
partnerships,,ukubambisana kwezamabhizinisi,
partnership agreement,,isivumelwano sokubambisana kwezamabhizinisi,
per capita national income,,ingenisomali kazwelonke ngomuntu ngamunye,
perfect competition,,ukuncintisana okumsulwa,
personal services,,izinsizakalo zabantu,
picketing,,ukubhikisha esangweni,
portfolio,,isikhwama sotshalomali/iphothifoliyo,
price discrimination,,ukucwasa ngokwenani,
price formation,,ukuqagula inani,
price leadership,,ubuhlahlimanani,
price mechanism,,indlela yokuqagula amanani,
price searcher,,umlawulimanani,
price-taker,,umemukelimanani,
principal,,ophetheyo/inhloko,
private company,,inkampani ezimele,
producer,,umkhiqizi,
production,,ukukhiqiza,
productivity,,isilinganiso somkhiqizo,
productive efficiency,,ukukhiqiza ngobunyoninco/ngokucophelela,
profit,,inzuzo,
profit maximization,,ukuqongisa inzuzo,
prohibitive tariff,,intela yempahla evimbayo,
property rights,,amalungelo obunikazi bempahla,
prosperity,,ukuchuma komnotho,
public company,,inkampani yomphakathi,
public finance,,izimali zikahulumeni,
pure competition,,ukuncintisana phaqa/okumsulwa,
pure monopoly,,ukugweva negunya lokudayisa ngokuphelele,
real income,,ingenisomali langempela,
recycling,,ukusebenzisa kabusha,
regulation,,umthethonqubo,
remuneration,,inkokhelo,
rent,,irenti,
resources,,izinsizasidingo,
revenue sharing,,ukwabiwa kwezimali ezingenile,
sales,,ukuthengisa,
scarcity,,ubungcosana,
secondary boycott,,ukuduba okwesekayo,
securities,,izibambiso,
sellers,,abathengisi/abadayisi,
semi-finished goods,,impahla engasebenzi injengoba injalo,
share,,isabelo/isheya,
shareholder,,umninisabelo/umninimasheya,
shop steward,,omele izisebenzi zenyunyana,
shortage,,ukwentuleka/ukushoda,
short run,,isikhathikukhiqiza esifushane,
shut-down point,,ukuma ndawonye kwebhizinisi,
socialism,,ubusoshalizimu,
spaza shop,,isiphaza,
squatting,,1. ukuhlala endaweni engathuthukisiwe 2. ukuhlala ngokungemthetho/ ukuskwata,
stabilization,,ukuzinzisa umnotho,
stagflation,,izingakwehla lomnotho,
staple foods,,ukudla okujwayelekile,
start-up capital,,imali yokusungula/yokuqala ibhizinisi,
stocks,,imalikubolekiswa kuhulumeni,
stockvel,,isitokofela,
subsidy,,uxhasomali,
suppliers,,abakhiqiza basabalalise/abasabalalisi,
supply,,impahla ekhona/impahla ethunyelwayo,
surplus,,okweqile/okwevile,
tariff,,intela yempahla engenayo/itharifu,
taxation,,ukutheliswa nguhulumeni,
time deposits,,imali eboshiwe/imali eboshelwe isikhathi esithile,
total,,isamba,
total cost,,isamba sezindleko,
total fixed costs,,isamba sezindleko ezingaguquki,
total product,,umkhiqizo usuwonke,
total revenue,,imali engenile isiyonke,
transaction costs,,izindleko zokwenza umsebenzi,
transfer earnings,,imalikugcina izisebenzi/imalikunxenxa,
transfer payment,,inkokhelo edluliselwe,
treasury,,umnyango womgcinimafa,
urbanisation,,ukufudukela emadolobheni,
utility,,ukweneliseka,
variable cost,,izindleko eziguquguqukayo,
variable expenses,,izindleko ezingaqaguleki,
volatile prices,,amanani aguquguqukayo,
volatile quantities,,izamba eziguquguqukayo,
wage,,iholo,
wage bracket,,umklamo weholo,
wage-taker,,oholayo,
waiting period,,isikhathi sokulinda,
waiver of premium,,ukulengiselwa ukukhokha,
wants,,izimfuno,
warehouse,,indlu yokugcina impahla/igushede,
warrant,,isitifiketi selungelo lokuthenga,
warranty,,isiqinisekiso,
wholesale,,ukuthengisa impahla ngobuningi,
wholesaler,,umthengisimpahla ngobuningi,
will,,incwadi yefa,
working capital,,imali yokuqhuba ibhizinisi,
working conditions,,izimo zokusebenza,
