English Terms;English Definition;IsiZulu Term;IsiZulu Definition 
"""*"" or ""%""";;"""*"" noma ""%”";
"""?"" or ""_""";;"""?"" noma ""_""";
"""<"" (less than)";;"""<"" kuncane kuno+";
"""<="" (less than or equal to)";;"""<=""(kuncane kuno noma kulingana no)";
"""<>"" (not equal to)";;"""<>"" (akulingani no)";
"""="" (equal)";;"""="" (kulingana)";
""">"" (greater than)";;""">"" (okukhulu kuno)";
""">="" (greater than or equal to)";;""">="" (kukhulu kuno kulingana no)";
.com;;.com;
.edu;;.edu;
.gov;;.gov;
.org;;.org;
absolute cell referencing;;inkombaseli engaguquki;
access (data/devices);;ukufinyelela /imvumekungena (imininingo /amadivayisi);
access control;;ukulawulwa kwemvumekungena/kokufinyelela;
accessibility;;ukufinyeleleka;
account;;ubulungukusebenzisa/ i-akhawunti;
active window;;iwindi elisasebenza;
address bar;;ibha yekheli;
adjacent (cells/rows/columns);;okuncikene (amaseli / amarowu / amakholomu);
adjacent (files);;okuncikene (amafayela);
adware;;umaqhibukisazikhangisi;
alias;;isimeleli;
align;;ukuqondanisa/ukuvumelanisa ukuhambisana;
allow;;ukuvumela;
and ;;futhi;
android (operating system);;i-androyidi (uhlelo lokusebenza);
anti-virus software;;[uhlelokusebenza lokukhipha amagciwane/ isikhiphamagciwane];
application store;;isigcinazisetshenziswa;
application;;isisetshenziswa;
arrow (image);;umcibisholo (isithombe);
assessment records;;amarekhodi okuhlola;
audio (file/clip);;okuzwakalayo (ifayela / isiqeshana);
authentication;;1. ukuqinisekisa 2. isiqiniseko;
author (website);;umbhali (isizindalwazi);
authorisation;;1. isigunyazo 2. ukugunyaza;
auto-complete;;ukuqedela okuzenzakalelayo;
auto-fill;;ukugcwalisa okuzenzakalelayo;
automatic out-of-office reply;;ukuphendula okuzenzakalelayo ungekho ehhovisi;
autosave;;ukulondoloza okuzenzakalelayo/ i-autosave;
availability (security);;ukutholakala (ukuphepha);
average;;isilinganisomvama/isilinganisomaphakathi / i-avereji;
backdoor;;umnyango ongemuva;
background;;isendlalela /inkambangemuva;
backlight;;isilekelelikukhanya/isibani sasemuva;
backup;;isipele/ umgcinwangxenye;
backwards ;;emuva /hlehla;
bar chart;;ishadimbundu;
battery;;ilahle/ ibhethri;
biometric;;ihlonzabuwena/ i-bhayomethrikhi;
bits per second (bps);;amabhithi ngesekhendi (i-bps);
blind carbon copy ;;i-imeyili ewumfuziselo ocashisiwe;
block pop-ups;;vimba oqhibu;
block (unknown/unwanted users);;vimba (abasebenzisi abangaziwa/abangafuneki)/ukuvimba;
block arrow;;umcibisholo wokuvimba;
blog;;ingosimbono/ ibhulogi;
bluetooth;;ibhluthuthi/ i-bluetooth;
blu-ray disc;;icwecwe/ irekhodi /i-blu-ray  ;
body (e-mail);;umzimba (i-imeyili);
bold (font);;okugqamile (i-fonti);
bookmark;;inkombakubekisa/ukubhukumaka;
botnet;;ibhothinethi/i-botnet;
briefcase (windows operating system);;isiphathimafayela;
browsing history;;umlandokuphequlula;
bullet list;;uhlu olunezinhlamvu;
cable lock;;isikhiyikhebuli/ikhebulisikhiye;
capture;;ukuqongelelakugcina;
carbon copy (email cc);;umfuziselo  osobala;
cell;;iseli/ibhokisana lokubhalela;
cell range;;ibanga leseli/ibanga lamabhokisana okubhalela;
character (symbol);;uphawu;
chart;;ishadi;
chat;;ingxoxo/ukuxoxa;
close (application);;ukuvala (isisetshenziswa);
close (tabs);;ukuvala (amathebhu);
cloud computing;;ubukhompyutha emkhathini;
collapse (window);;ukunciphisa (iwindi);
column (data);; ikholamu (imininingo);
column chart;;ishadikholamu;
comma separated values (csv);;imininingo ehlukaniswe ngokhefana (csv);
common productivity application;;isisetshenziswa sokukhiqiza esivamile;
compact disc (cd);; icwecwe/isidi (i-cd);
compress (zip);;gqisha (zip);
compressed file;;ifayela eligqishiwe;
concurrent access;;ukufinyelela kanyekanye;
confidentiality;;ubumfihlo;
configuration settings;;izinhlakwenza;
connect (network/service);;xhuma/ukuxhuma;
connection (network/service);;uxhumano;
contact;;oxhumana naye;
content;;okuqukethwe;
content communities;;imiphakathi yezinkundla zokuxhumana;
content-control;;ukulawula okuqukethwe;
cookie;;isigcinalwazana/ikhukhi;
copy (data);;ukukopisha;
copyright;;igunyabunikazi;
course (online learning);;isifundo(ukufunda nge-inthanethi);
cracking (hacking);;ukugqekeza/ukufohla;
crash (software);;ukufa (uhlelokusebenza/isofthiwe);
credibility (website);;ukwethembeka (isizindalwazi);
cyber bullying;;ukuhlukunyezwa ngokotwamkhathi;
cybercrime;;ubugebengu ngotwamkhathi;
data destruction utilities;;izinsiza zokushabalaliswa kwemininingo;
data label;;ilebula yemininingo;
data protection;; ukuvikelwa kwemininingo/ukuvikela imininingo;
data protection obligations;;izibopho zokuvikelwa kwemininingo;
data protection rights;;amalungelo okuvikelwa kwemininingo;
data type;;uhlobo lwemininingo;
database administrator;;umphathi wenqolobanemininingo;
date modified;;usuku okuguqulwe ngalo;
date received;;usuku okwamukelwe ngalo;
deactivate account;;vala i-akhawunti/yenza i-akhawunti ingasebenzi;
decompress (unzip/extract);;qaqa;
decryption;;ukuthombulula;
default (setting);;izinhlakwenza zokuqala;
degaussing;;ukuhlela kususa ngokuka-Gauss;
delete;;cisha/cima;
design;;ukudweba;
device;;idivayisi;
dialler;;ukudayela/isidayeli;
dial-up;;shaya ucingo;
digital camera;;isithwebuli esidijithali;
digital certificate;;isitifiketi esidijithali;
digital signature;;isignesha edijithali;
digital video disc (dvd);;ucwephendilinga oluyidijithali lwevidiyo (i-dvd);
disconnect (network/service);;ukunqamula;
display (n.);;ukubonisa/isibonisi;
distribution list;;uhlu lokusabalalisa;
docking station;;isiteshikugxumeka;
document (digital);;idokhumenti;
document orientation;;ukuma kwedokhumenti;
domain;;isizinda;
download;;landa/thulula/dawunloda;
download restriction;;umkhawulo wokulanda/wokuthulula/wokudawunloda;
download speed;;isivinini sokulanda/sokuthulula/sokudawunlodwa;
draft;;uhlaka/ipulani elingaphelele;
drive/media destruction;;ukushabalalisa isigcinalwazi;
dropdown menu;;imenyu yokudonsa/imenyu edonswayo;
eavesdropper;;ihogelandaba;
ebook;;ibhukunyazi;
edit;;hlela;
electronic mail (e-mail);;i-imeyili;
element (data);;utho;
e-mail account;;i-akhawunti ye-imeyili;
e-mail address;;ikheli le-imeyili;
e-mail folder;;isigcinimafayela se-imeyili;
e-mail signature;;isignesha ye-imeyili;
encryption;;ukucashisa;
end-user license agreement (eula);;isivumelwano selayisense yomsebenzisi/i-eula;
energy saving;;ukonga amandla;
enter ;;faka;
error ;;iphutha;
ethical hacking;;ukugqekeza okugunyaziwe;
exact phrase ;;ibinzana ngqo;
executable (file type);;okusebenzayo;
expand ;;nweba/andisa;
extensible markup language (xml);;ulimi oluchaza kabanzi/i-xml;
external hard drive;;isigcinalwazi sangaphandle;
false identity;;imfihlabuwena/ubuwena obungamanga;
favourite ;;intandokazi/okuthandayo/okukhonziwe;
feature (software);;uphawusici (uhlelokusebenza);
field properties;;uphawu lwesikhalamgcwaliswa;
file;;ifayela;
file cache ;;isigcinafayela sesikhashana;
file management;;ukuphathwa/ukusingathwa kwamafayela;
file size;;ubungako befayela/usayizi wefayela;
file type;;uhlobo lwefayela;
filter;;isihlungi;
firewall;;isilawulikudlula;
flag  ;;1. gqamisa ngophawu 2. ukugqamisa ngophawu;
flag;;uphawusigqamisi;
flash drive;;isimumathilwazi ngombani;
folder;;isigcinimafayela/ifolda;
folder compression;;ukugqisha isigcinimafayela/ifolda;
folder size;;ubungako besigcinimafayela/usayizi wefolda;
footer;;unyaweni;
form (data capture) ;;ifomu;
format ;;ukufometha;
format ;;ukufometha;
formatting (text);;ukufometha (umbhalo);
formula;;ifomula;
forum;;isithangami;
forward ;;phambili ;
forward (e-mail);;dlulisa (i-imeyili);
fraudulent ;;okunokukhwabanisa;
freeware;;uhlelokusebenza lwamahhala;
freeze 1. (computer) 2. (cells);;1. ukuquleka 2. ukumisa;
full screen;;isikrini esigcwele;
gigabits per second (gbps);;amagigabhithi ngesekhondi;
green it;;ukucabangela imvelo kwezobuchwepheshe;
gridline;;umugqa wegridi;
grooming (cyber crime);;ukujwayezakulutha;
group (objects);;iqoqo/inqwaba;
group (social);;iqembu/iqoqo;
hacking;; ukugqekeza;
handout ;;isinikezo/okunikiwe;
header;;unhlokweni;
help function;;inkinobho yosizo;
hibernate ;;ukuquba;
hide (data visibility);;ukufihla (ukubonakala kwemininingo);
hierarchical structure;;isakhiwo-mazinga ngobumqoka;
high contrast;;ukugqama;
high-definition multimedia interface (hdmi);; i-hdmi;
highlight (text);;ukufaka umbala/ukuqhakambisa;
home page;;ikhasikhaya;
hyperlink;;isixhumanisi;
hypertext transfer protocol (http);;i-http;
hypertext transfer protocol secure (https);;i-https;
hyphenation;;okunekhongco/okukhongcozisiwe;
thumbnail;;isithonjana;
identity theft;;ukwebiwa kobunikazi/kobuwena;
image ;;isithombe/umfanekiso;
inbox;;ibhokisi lokungenayo;
increment (value);;ukukhuphula (inani);
indent tab;;ithebhu yokushenxisa;
index (data);;inkomba (imininingo);
individual;;1. ngakunye 2. ngamunye;
infect;;ukusulela/ ukuthelela;
information and communication technology (ict);;ubuchwepheshe bezokwazisa nokuxhumana (i-ict);
information diving;;insebenzisalwazi obelulahliwe;
information searching;;ukuhlwaya ulwazi;
information site;;isizindalwazi (bheka i-website);
information technology (it);;ubuchwepheshe bolwazi/i-it;
input port;;isamukelalwazi;
insert (editing);;faka (ukuhlela);
instant messaging (im);;ukuthumela umlayezo ngokusheshayo;
integrated device;;idivayisi edidiyele;
integrity ;;intembeko;
intellectual property;;ubuninimsunguli;
intellectual property rights;;amalungelo  obuninimsunguli;
internal hard disk;;isigcinalwazi esingaphakathi;
internet filtering software;;uhlelokuhlunga lohleloxhumano lomhlaba /lwe-inthanethi;
internet service;;insizakalo yohleloxhumano lomhlaba/ye-inthanethi;
internet service provider (isp);;umhlinzeki wohleloxhumano lomhlaba/we-inthanethi;
internet subscription;;ukubhalisela ukusebenzisa uhleloxhumano lomhlaba/i-intanethi;
invitation (online);;isimemo;
invitee;;isimenywa;
ios (operating system);;(i-ios);
italic;;utsheku;
justify;;qondisa;
keyboard language;;ulimi loqwembezinkinobho;
keystroke logging;;isiqophamininingwane;
keyword;;igama elimqoka;
kilobits per second (kbps);;amakhilobhithi ngomzuzwana (i-kbps);
language ;;ulimi;
layout (slide);;uhlelosakhiwo;
learning management system (lms);;uhlelokuphatha ukufunda (i-lms);
legend (chart);;ilejendi(ishadi);
line break;;ukuphela komugqa;
line chart;;ishadi lemigqa;
local ;;okwendawo;
location information;;isikhombandawo/ulwazi ngendawo;
lock symbol;;uphawu lokukhiya;
log on;;vula/ngena;
logical function;;indlelakusebenza ehlelekile/ elandelekayo;
macro;;okukhulu/imakhro;
mail merge;;isihlanganisimininingwane;
mailing list;;uhlu lwabathunyelelwayo;
malware;;uhlelombi;
margin;;umngcele;
mark  ;;uphawu (e-mail);
maximise;;khulisa/andisa kugcwale;
maximum;;okuphezulu;
media access control (mac);;ulawulo lokufinyelela ngezokuxhumana (i-mac);
media player;;isidlaliziqoshwa;
media type;;uhlobo lweziqoshwa;
media storage;;isilondolozi ziqoshwa;
meeting ;;umhlangano;
megabits per second (mbps);;amamegabhithi ngamasekhondi /i-mbps;
memory card;;ikhadi eliyisigcinilwazi;
menu bar;;ibha yemenyu;
merge;;hlanganisa;
messaging;;ukudlulisa imiyalezo;
micro blog;;ingosanambono;
minimise;;ehlisa /nciphisa;
minimum;;okuncane/okuqalwa kuko;
misleading/dangerous information;;ulwazi oludukisayo / oluyingozi;
mobile application;;isisetshenziswa esingumahambanaye;
mobile calendar;;unyangazonke/ikhalenda engumahambanaye;
mobile internet (3g, 4g);;uhleloxhumano lomhlaba olungumahambanaye/i-inthanethi engumahambanaye;
mobile phone;;umakhala ekhukhwini [umakhalekhukhwini];
mobile technology;;ubuchwepheshe obungumahambanaye;
move (file/data);;hambisa;
multimedia message service (mms);;i-mms;
navigate;;guduza;
network administrator;;umlawuli wohleloxhumano;
network card;;ikhadi lohleloxhumano;
network drive;;isigcinilwazi sohleloxhumano;
non-printing;;okungagayeki/okungaphrinteki;
non-responding application;;isisetshenziswa esingasebenzi;
not (logical not);;cha;
noticeboard;;ibhodizaziso/ibhodizimemezelo;
object;;into;
productivity application;;isisetshenziswa samandlakukhiqiza;
one-time password (OTP);;igamamfihlo eliyinsebenzakanye (i-OTP);
online banking;;amabhange ase-intanethi [ukubhenka kwi-inthanethi]/ukubhenka nge-inthanethi;
online calendar;;ikhalenda le-inthanethi;
online communication;;ukuxhumana nge-inthanethi;
online computer game;;umdlalo we-inthanethi;
online file storage;;isilondolozi/ isigcinimafayela se-inthanethi;
online learning environment;;inkundla yokufunda nge-inthanethi;
online meeting;;umhlangano nge-inthanethi;
online security;;ezokuphepha ku-inthanethi;
online shopping;;ukuthenga nge-inthanethi;
on-screen keyboard;;uqwembezinkinobho olusesikrinini;
open (file);;vula;
open source;;umthombo ovulekile;
operator (arithmetic);;uphawukubala;
opinion site;;isizindalwazi semibono;
or ;;noma;
outbox;;ibhokisi lokuphumayo;
output (data);;okuphumayo/okuvelayo;
overhead projection;;ukubonisa odongeni;
paper (printing/layout);;iphepha (ukuphrinta/ukuhlelwa);
parental control software;;uhlelokusebenza lwabazali lokulawula;
password policy;;inqubomgomo yegamamfihlo;
paste;;namathisela;
pause;;misa okwesikhashana;
performance;;izingakusebenza;
permanent deleting;;ukucisha/ukucima unomphela;
permission;;imvume/igunya;
personal identification number (pin);;inombolo eyihlonzamnini/ i-pin;
pharming;;ukudukisa;
phishing;;ukulutha;
phone (land) line;;ucingo;
phrase ;;ibinzana;
physical security;;isivikeli esiphathekayo;
pie chart;;ishadindilinga;
placeholder;;ibambandawo;
plug-in;;umashuthekwa;
podcast;;umsakazwana;
pop-up;;uthushu/umaqhibuka;
portable document format (pdf);;ifomethi ewumgcinamumo wedokhumenti (i-pdf);
post;;isishicilelo;
presentation animation;;umfanekisomnyakazo;
presentation;;isethulo;
presenter;;umethuli;
pretexting;;ukuwaka/ukuqola;
preview;;indulela;
primary key;;inhlukanisangqangi;
print;;ukugaya/ukuphrinta;
print job;;umsebenzi ozogaywa/ozophrintwa;
printer cartridge;;igobolondo lika-inki;
priority (e-mail);;imputhumakuqala/okusemqoka;
privacy;;ubumfihlo;
privacy options ;;inhlelakusebenza ubumfihlo;
privacy settings;;inhlelakusebenza ubumfihlo;
private messaging;;ukudlulisa umlayezo ngasese;
processor;;ingqondomshini;
productivity application;;isisetshenziswa samandlakukhiqiza;
projector;;isibonisidongeni;
properties;;izinhlelakusebenza/izimpawu;
proprietary software (license);;uhlelokusebenza olukhokhelwayo;
protect;;vikela;
protected source;;umthombo ovikeliwe;
publish (content);;shicilela;
quarantine;;ukwahlukanisa;
query;;umbuzo;
quiz;;isiphico;
quota (data/bandwidth);;ubungakomthamo;
random access memory (ram);;ingcinalwazi engenwa ngokungahlelekile (i-ram);
read ;;okufundiwe;
read access;;igunyakufunda;
real time;;ubukhoma;
record;; okuqoshiwe;
recovery;;ukubuyisa;
recycle bin/waste basket/trash;;umgqomo kadoti;
redo;;buyisela;
referencing;;ukuthathisela;
refresh ;;vuselela;
relating tables;;ukuhlobanisa amathebula;
relative (cell addressing);;ngokuhlobanisa;
remote (networking);;ubuqamama;
remove ;;susa;
rename;;qamba kabusha;
reply;;phendula;
reply-to-all;;phendula bonke;
report (database);;umbiko;
reset;;hlela kabusha;
resize;;guqula kabusha ubungako/usayizi;
resources;;izinsiza;
restart (task/print job);;ukuqala kabusha;
restore down (window);;yehlisa;
restrict (access control);;nqinda;
return (enter key);;buyela;
ribbon (printer);;iribhini;
rich text format;;umumokwakhiwa ongaguquka /ifomethi engaguquka;
rootkit;;izinsizakugqekeza;
round (function);;nxazonke;
routine;;inhlalayenza;
row;;umugqa ovundlile;
sales site;;isizinda sokuthengisela;
saved form data;;imininingo yefomu elondoloziwe;
scalability;;inkuliseko;
scan;;thwebula/skena;
scanner;;isithwebuli/iskena;
screen capture;;isithwebuliskrini;
screen magnifier;;isikhulisiskrini;
screen reader;;imfundaskrini;
scroll bar;;ibha yokufinyelela;
search criteria;;izindlelakuqoka zokucinga;
secure;;vikela;
secure source;;umthombo ovikelekile;
select ;;khetha/qoka;
sent ;;okuthunyelwe/ okuthunyeliwe;
service interruption;;ukuphazamiseka kwensizakalo;
service provider;;umhlinzekinsizakalo;
shadow;;isithunzi;
share;;insetshenziswandawonye;
shared calendar;;unyangazonke oyisisetshenziswa ndawonye/ikhalenda eliyisisetshenziswa ndawonye;
shared file;;ifayela eliyinsetshenziswa ndawonye;
shareware;;umtshelekwano;
sharing restrictions;;imikhawulo yensebenza ndawonye;
short message service (sms);;umqhafazo/i-sms;
shortcut;;isinqamuleli;
shoulder surfing;;ukukloba/ukulunguza;
show;;bonisa/khombisa;
shredding;;ukucucuza/ukucuca;
shut down;;vala/cima/cisha;
size limit;;umkhawulobungako;
skimming;;uthwebulomniningwane;
sleep mode;;isimo sokulala;
smartphone;;uhlakanyana/isimathifoni;
social engineering;;ukuwaka/ukugunyatha;
social media;;izinkundla zokuxhumana;
social network ;;inkundla yokuxhumana;
software license;;ilayisensi yohlelokusebenza;
sort;;ukuhlela ngononina;
space (formatting);;isikhala;
spam/junk;;ugaxekile/udoti;
special character;;uhlamvu olukhethekile;
spell check;;ukuhlola;
spreadsheet;;ubhalekomagama/isipelingi;
start up;;ikhasizikwele;
status bar;;ukuqalisa;
storage;;ibha eliyimvezabunjalo/eliyinkombabunjalo;
storage capacity;;isigcini/inqolobane/umthamo wesigcini;
style;;isitayela;
sub-folder;;isigcinimafayela esingaphakathi;
subject;;isihloko;
submit;;thumela;
subordinate;;ophethwe;
subscript;;umbhalo omaphansi;
sum ;;isamba;
superscript;;umbhalo omaphezulu;
supervision ;;ukwelusa;
switch ;;umaguqulandlela/inguqundlela/iswishi;
synchronisation;;ukuvumelanisa/ukufananisa;
system information;;imininingwane ngohlelo;
tab;;ithebhu;
tablet (computer);;ithebhlethi;
taskbar;;ibha yezisetshenziswa;
template;;insuselakuyo;
temporary internet file;;ifayela lesikhashana le-inthanethi/lohleloxhumano;
terabyte (tb);;itherabhaythi (i-tb);
test page (print);;ikhasi lokuhlolakusebenza;
text;;umbhalo;
threat;;okunobungozi;
tile;;ithayela;
time limit;;umkhawulo wesikhathi;
title;;isihloko;
title bar;;ibha yesihloko;
to (email to);;iya;
toolbar;;ibha yamathuluzi;
touchpad;;isithintwa;
trackpad;;isithintwa (bheka isithintwa);
transfer rate;;izinga lokudlulisa;
transition effect;;umphumela wokuguquka;
trial version;;uhlelokusebenza oloyilinge;
trojan;;ithrojani;
underline;;dwebela;
undo;;buyela emuva;
unflag (email);;ukususa uphawusigqamisi;
unfreeze (cells);;ukuqwebula/ukuphaphamisa;
ungroup (objects);;ukuhlakaza iqoqo;
uniform resource locator (url);;Inkomba yesizindalwazi (i-url);
uninstall;;ukukhipha/ khipha;
universal serial bus (usb);;isidlulisimininingo jikelelei (i- usb);
unread (e-mail status);;okungakafundwa;
unshare;;okungasasetshenziswa ndawonye;
unsolicited e-mail;;i-imeyili ezingenelayo;
update ;;1.hambisana nesikhathi 2.uhlelokusebenza olubuyekeziwe;
upload;;layisha;
upload speed;;isivinini sokulayisha;
up-to-date content;;okuqukethwe okuhambisana nesikhathi;
user;;umsebenzisi;
user health;;impilo yomsebenzisi;
user invite;;isimemo somsebenzisi;
user name;;igama lomsebenzisi;
utility software;;insizahlelokusebenza;
validate ;;qinisekisa;
validation rule;;umthetho wokuqinisekisa;
version management;;ukulawula inguqulohlobo;
version number;;inombolo yenguqulohlobo;
video (file/clip);;ividiyo;
video graphics array (vga);;i-vga;
virtual learning environment (vle);;ukufundabuqama ngobuchwepheshe (i-vle);
virtual private network (vpn);;uhleloxhumano olungasese lwe-inthanethi (i-vpn);
voice over internet protocol (voip);;uhleloxhumano lokudlulisa izwi (i-voip);
voice recognition;;inhlonzalizwi;
volume setting;;ukuhlela izingamsindo;
web;;iwebhu;
web address;;ikheli lewebhu;
web browser;;isiphequluli sewebhu;
web browsing restrictions;;imikhawulo yokuphequlula iwebhu;
web conferencing;;umhlangano ngokwewebhu;
web-based productivity app;;isisetshenziswa sewebhu sokukhiqiza;
webcam;;ikhamera yewebhu;
wi-fi;;iwayfayi/i-wi-fi;
wi-fi protected access (wpa);;ukusetshenziswa/ukutholakala okuvikelwe kwewayfayi (i-wpa);
wiki;;iwiki;
wildcard;;inhlonzagama;
wi-max;;iwayimeksi(i-wi-max);
window;;iwindi;
windows mobile;;i-windows mobile;
wired equivalent privacy (wep);;ukusetshenziswa/ukutholakala okuvikelwe kwewayfayi okunomkhawulo(i-wep);
word processing;;ukusebenza amagama;
worksheet;;ikhasi lokusebenzela;
wrapping (text alignment);;ukuzihlela kombhalo;
write access;;imvume yokubhala;
